Seci!O.K.,to bi bilo to.|Bio si sjajan,Bili.
Najviše æemo da zaradimo|od meðunarodnih opklada.
Po podacima iz kompjuera,|obrnuæemo oko 30 miliona.
Do borbe ima još tri nedelje|od danas?
Treniraš li redovno,Karl?|Izgledaš mi dosta spreman.
Biæu spreman.
Imaæemo problema sa nekim|ljudima u Detroitu.
Hakim,možeš li da odletiš|u Detroit i da središ stvar?
Ali da se vratiš do|poèetka borbe?
Pretpostavljam da mogu.|Smatraj to sreðenim,šefe.
Trebalo bi srediti problem|sa Bilijem.
Baš sam se pitao o tome i|htedoh da te o tome pitam.
On odbija da potpiše ali|ni to za sada ne smeta.
Vièe na sva usta kako æe|izdržati do kraja.
Toliko smo mu šansi pružali,|pomagali mu...A
 onda,taj neobjašnjiv otpor.|Pa,ta devojka...
Njen novi album je na top|listi i ima dosta uspeha.
Kaže da æe razgovarati o|svom ugovoru sa Bilijem.
Doktore,mislim da bi ih|trebalo malo pritegnuti.
Da,da.Malo bi ih trebalo|pritegnuti.
Bili,danas je navraæao jedan|od onih iz sindikata.
Da li je pretio?-Ne baš,|ali znam da je to pretnja.
Bili,misliš li da se isplati|izdržati do kraja?
Èula sam prilièno gadne|stvari o tim momcima.
Kad stanemo,nemoj im ikako|dati razlog da te povrede.
En,volim te,i ne želim da|te bilo kako povrede.
Imaj poverenja.Izaæi æu sa|njima na kraj nekako.
Voleo bih kada bi gðica|Moris mogla da ode odavde.
Bojim se da to ne možemo|da dopustimo,Bili.
On nema mnogo vremena.Kaži|mu to.Neka se javi ujutru.
Bili,uvek sam bio iskren|prema tebi.Nemaš izbora.
Ti i En im ništa ne znaèite.|Vi ste imovina.
Smatraju da vas poseduju,|ili potpuno ili delimièno.
Sve rade za tebe.Rezervišu|meè,plate porez,plaæaju...
Tek kasnije shvatiš èega|te je sve to koštalo.
Ne treba,valjda,da te|podseæam na Èarli Venga.
Znamo kakvom su ga pritisku|bili izložili.
A znamo da su ga bili|pozvali na "razgovorèiæ".
Sledeæeg dana su ga izvukli|u luci,iz reke.
Moraè se odluèiti,Bili.|Slike veæ obilaze svet.
Internacionalno slavlje.|Oni tu mirišu veliku lovu.
Možeš potpisati i živeti|u miru nakon toga.
A možeš otiæi u policiju|i proæi jako loše.
Da li je tvoj savet da|dopustimo da nas poseduju?
Ne,samo želim da uèestvujem|u posmrtnom pomenu.
Previše si mi drag.Vreme|je da kidam u kancelariju.
Ne mogu to dopustiti.
Pre æu umreti kao èovek,|nego živeti život deteline.
Odustani.Imaš dovoljno para.|Oteraj ih doðavola.J
a mogu od svega da odustanem.|Meni ovo ne treba.
Mora da postoji još neko|rešenje i ja æu ga naæi.
U gradu je kineska opera.|Svrati i vidi svog strica.
Da,stigla je.Iæi æu do pozo-|rišta sutra.Dobra ideja.S
vo troje napuštaju restoran.|Šta da radimo?
Nemojte ih izgubiti iz|vida,nikako.
Uskladite sve aktivnosti|sa filijalama.Æao.
Opklade su malo preterano|na strani Karla.
Da.Dobra bi ideja bila da se|to malo izniveliše.
Uzgred budi reèeno,šta se|dešava sa Bilijem Loom?
Reèeno mu je da se javi|ovde,danas ujutru.
Da li znamo gde se on|nalazi od jutros?
Mi znamo u svako doba|gde se on nalazi.O
nda,poslednja opomena.Da,da,|poði i ti sa njim.
Bili!Uði Bili,uði.Lepo je|videti te,deèko.Sedi.
Ne viðamo te puno od kada|si postao veliki èovek.O
,da.U jurnjavi sam mesecima.|Stalno sam zauzet.
Zauzet si.Èujem,juri te|mafija.Mora da si zverka.
Kako ti to znaš?-To je|vrlo jednostavno.
Ne mogu im se pridružiti,|èak ni silom.
Upravo si opisao problem|star koliko i èovek.
Postoji rešenje,za kojem|islim da ga neæeš uvažiti...
Kada doðeš na vrh,shvataš|da æeš teško pasti!
Ali,ako ne razmišljaš,|gurnuæete i lako æeš pasti.
Kakvo ti mišljenje imaš|o sebi?
Mislim da sam radom zaslužio|ovo što sada radim.
Onda ne dozvoli da te gurnu.|Nikad te neæe ostaviti.
Gurni ti.-Misliš,da ubijam?|-Integritet je skup.
Kolika je cena tvog|integriteta?
Koliko si voljan da platiš|za svoj integritet?
Postoji tu još jedna osoba.|Devojka.
Ako se budem borio,mogu|je povrediti,verovatno.
Pošalji je negde.Treba li|ti pomoæ?
Poznajem neke ljude koji|bi mogli da pomognu.
Izlazite svi!Ustaj!Ustaj!
Još jedna poruka,Bili.
Kineski sindikat želi da|bude siguran u pobednika.
Spremni su da daju milion|i po dolara u to ime.
Staviæu ti lovu taèno|ispod vašeg praga.
Je li lova u redu?-Da radi|se o vrlo èistom novcu.
Karl!-Da gospodine.-Šta se|dešava sa Bilijem Loom?
Ništa,gospodine.Ni reèi.
Neæe on zvati.Ta stvar je|uzaludna,završimo sa tim.
Kakav nesreæan gubitak.Tek|tako ponuditi svoj život.
Halo!-Halo En,ja sam.-Gde|si bio do sada,Bili?
Pokušavam da te pronaðem ceo|dan.Zabrinuta sam.
I ja sam se brinuo za tebe,|mila.En,dobro me slušaj.
želim da se naðemo na|feribotu u 6 sati.
Naæi æeš me u putnièkom|delu.Jesi li me razumela?
U redu.Da li je sa|tobom sigurno sve u redu?
Da.Da budem iskren,sada mi|je daleko lakše.
Bili,pa ti si povreðen.|-Ma,ništa to nije.
Hoæu da odmah sadaodeš|u Sjedinjene Države.
Da te ovde ostavim?-Moram|ovo sam da rešim.
To æe ionako biti samo na|kratko.Možda par meseci.
Ne,èekaj Bili,ne mogu to.|-Vidi,ne možeš mi pomoæi.
Ali,ako bih ostala,mogu ti|naneti zlo.
Možda bi trebalo da promeniš|ime i nestaneš malo.
Samo da snimim još jednu|scenu i pridružiæu ti se.
Bili,ne mogu te ostaviti.|Šta nameravaš?-Ma,ništa.
Moramo se rastati.En,želim|da dugo još živim s tobom.
Znaš,hteo bih,onako,da|ostarimo zajedno.
Vrlo je èudan i tajanstven,|i to mi se ne dopada.
Zvuèi kao da æe pobeæi,|što bi bilo vrlo razumno.
Naprotiv,mislim da uopšte|nema nameru da beži.
Kao da je doneo neku odluku.|Kao da æe se boriti.
Džim,znam da je zvao studio.|Hoæeš li da se vidimo?
Stvarno se jako brinem.|-Naravno,biæu odmah tamo.
Pozornica 4.-Jasno mi je.
O.k.,momci.Namestite se za|Bilijevu taèku.
Spremite se,idemo momci.|-Gospodo,ovo su æorci.
Iz njih izlazi papir koji|ne može nikog povrediti.
Spremni smo za tebe,Bili.|-U redu.
Želim da ižletiš iz zgrade|kao da trèiš iz pakla.
Uperiæe se pištolji u tebe,|a ti izvedi svoj pad,važi?
Važi!-Hajde da sve|jednom probamo.
Bili,ovde sam.-Otkud ti?|Džim,vozi je na aerodrom.B
ili,vidim da nešto ne valja.|Treba li ti pomoæ?
Sasvim æu ih razbiti,da|policija prodre do srži.
A kada bude eksplodiralo,|ne želim da En bude ovde.
Smesti je u avion.-Bili...|-Molim te Džim!
Idemo,namestite se svi.|-O.K. spremi se za snimak.
Traka ide.Tišina,molim.|-Akcija!
Seci!-U èemu je stvar?Šta|se ovde dešava?
U èemu je stvar?-Pa on je|povreðen.
Metak je prošao po dužini,|smrskavši deo lica.
Kakve su šanse da|ne ostanu posledice?
Biæe promena u strukturi i|ožiljaka,ali biæe u redu.
Hvala vam,doktore.
Zdravo,Bili,jesi li budan?|-Jesam.
Razgovarao sam sa hirurgom,|operacija æe biti sutra.O
va bolnica je vrlo diskretna.|Niko neæe saznati.
Dobro.Još uvek želite ovo?|-Da.
Jedini razlog zbog kojeg|saraðujem,je vaš život.
Ako ponovo izaðete na ulicu,|opet æe vas napasti.
Znaèi,pristajete,doktore?
Treba nabaviti kompletnu|dokumentaciju.
Treba izdati umrlicu i|poslati nekog u novine.
Tu je još i pitanje|promene identiteta.
Veæ je sreðeno pitanje|promene identiteta.
Trebalo je da kažem En.|-Ne,niko ne sme znati.
Ako ona bude znala,m|ože biti izložena opasnosti.J
avna sahrana,otvoren kovèeg.|Ipak je on slavan.
Ne brinite,biæe to vrlo|uverljiva sahrana.
Bili Lo je mrtav!
Ovde ima nekih interesantnih|ljudi.
Mogla bi se napisati|interesantna storija.
Jasno mi je da sam se|jeftino ponela.
Drago mi je da to uviðaš.
En,milo mi je što|si uspela da se sabereš.
Ne,neæu više da plaèem.
Samo bog zna koliko|policija želi da ih šèepa.
Ali,za sada ne postoji naèin|da se to dokaže.
Zar ti ne razumeš ništa?|Svi su gledali u njega.
N|iko ništa,navodno,nije video.
Gospoda su javila da je|gotovina stigla u Makao.
Fino.Misliš da je ideja da|svratimo u bolnicu,dobra?P
ošto se radi o vrednoj robi,|trebalo bi proveriti.
Samo vi idite,videæemo|se mi kasnije.
Zdravo,gospodine Maršal.|-Zdravo,kako je En?
Vrlo smo zadovoljni kako|se razvija njen oporavak.
Prilièno je trajalo.3 nede-|lje?To je jako kratko.M
ogu li je videti?-Da,mislila|sam vas ionako zvati.
Dugo se veæ sprema|da vidi poznato lice.
Morate samo razumeti da je|još uvek malo deprimirana.
Zar je veæ vreme da uðem?|-Eni!-Džim!
Doneo sam ti sitnicu.|-Predivno je.
Èuo sam neke dobre vesti|o tebi.-Nisu laži?-Nisu.
Da li novinar može da slaže?|-Tek se sad brinem.
Oseæam se mnogo bolje.|-Baš lepo.
Opet sam spremna da|komuniciram sa ljudima.
Znaš,možda bi veæ trebalo|da izaðeš odavde.
Idi zasad u Ameriku kad se|budeš oporavila.I
 o tome sam veæ razmišljala,|ali,to još ne želim.
Najvažnije je da vidimo|šta joj se mota po glavi.
Da ustanovimo kakvu pretnju|može da predstavlja.
To ne možemo poveriti|ni Karlu,niti bilo kome.
To je novinar Maršal.Uskoro|æe dobiti mašinu u lice.
Dobar dan,gðice Moris.|Nismo se još upoznali.
Ja sam Stajner,a ovo je|doktor Lend.
Drago mi je,gospoðice Moris.|Prekrasno izgledate.
Šta želite?-Pa,samo|smo prolazili.
Baš smo se pitali,možemo|li uèiniti nešto za vas?
Ima li nešto da vam treba?|-Ne treba mi ništa od vas.
Upoznati smo sa velikim|naporom,koji ste prošli.
Nadali smo se da nekako|možemo da vam pomognemo.
Možda,kada bi smo vašu|barijeru malo pokrenuli.
Gubite se!!Gubite se!!
Prokleta kuèka!-To je|izgleda sindrom Bilija Loa.
To je vrlo dosadna bolest.|Èesto dugotrajna.S
tik,izgleda da te je prepoz-|nala.-Nikad je nisam sreo.
Hajdemo do Makaoa da vidimo|kako se sve odvija.
Šta to radiš,Bili?-Crtam|sebi novo lice.
Pre i-posle.Ovako je mnogo|bolje.-Veæ sam rekao.
Imaæeš opet normalni izgled,|Bili,videæeš.
Saèekaj dok sutra skinemo|te zavoje.Izvini me sad.
Novi Bili Lo.
Mogu li vas unajmiti da|pretite onaj brod.
Neæu ga moæi stiæi,kad|bude izašao iz luke.
Takvi brodovi vrlo lako|razvijaju i 40.
Šta mislite,kuda idu?-Video|sam taj brod u Makau.
To sam i mislio.Ipak,|hajde da krenemo.
U svakom sluèaju,to je|vožnja od sat vremena.
Znam ko je ubio Bilija.|-En?-Da.Džim,znam ubicu.
Jesam li te ja to dobro èuo?|Šta si to rekla?
Bili su u bolnici.Jedan|je bio uèesnik u pucnjavi.
Vidi,En,što ne svratiš,pa|da odemo u policiju?
Gde se sada nalaziš?Jesi li|napustila bolnicu?
Nema veze.Nije važno.
Ej,mister,je li to momak na|koga ste èekali?-To je on.
Da li bi vam bilo teško da|me saèekate ovde?
Neæete valjda opljaèkati|kockarnicu
Ne bih baš izigravao|èamac za bežanje.
Ne.Hoæete li biti ovde|bez obzira koliko je kasno?
Ionako nemam u planu|ništa bolje da radim.
Parada!Parada!Doðavola!|Treba da se išèupamo.
Taksi nas prati,trebalo bi|da skrenemo u neku ulicu.
Zatrubi im.-Hajde da se|veæ jednom izgubimo.Kreæi!
Kinesko zlato.-Èekaju vas|ovde veæ sat vremena.
Zadržala nas je kretenska|kineska igra lava.
Vidi,vidi.-Kako ste doktore?|Lepo je videti vas.
A kako ste vi?Sedite.|Možda ne treba ni brojati.
Kaže da možda ne treba|ni brojati.
Možda bi ipak trebalo.
Doktore!Doktore Lend!-Da.|-Sav novac je ovde.
Bio bih prilièno iznenaðen|da nije.
Odakle si se ti stvorio?|Ko si?Kako si dospeo ovde?
Beži od mene,kopile jedno!
Neka neko pomogne doktoru.
Karl!Pusti ga!Prokleta|budalo,imaš borbu veèeras.
Karl!Vrati se!Èuješ li me!|Karl!
Ne mogu da razumem ako se|radi o drugoj organizaciji.
Ako žele da vas ubiju,|izabrali su pogrešno oružje.
Postoji tu nešto što mi|je poznato.
Stik ima pravo.Radi se o|specifiènom èoveku.
On nije hteo samo da ubije,|hteo je da me kazni.
Ostavi to.Šta je trebalo|uraditi,uraðeno je.-Bili.
Pobednik nokautom u teškoj|kategoriji-Karl Miler!
Idem da se istuširam da bi|bio lep za nove fotografe.
Ima dosta šampanjca za sve|i neæete me dugo èekati.
Ko si ti?-Zovem se Džun.|-Ovo je moja nova devojka.
Želim da je svako od vas|fotografiše mnogo puta.
Gledaj ovde u kameru,dušo.|Odakle si,srce?-Iz Kanzasa.
Ko si,do vraga,pa ti,momèe?|Gubi se druškane!
Miler!-Gospode bože,|Bili Lo!
Karl!Karl!Jesi li u redu?
Karl!Karl!Šta se dešava?|Karl?Otvori vrata!
Izgubio si,Karl MIler!
Ubijen je pored gomile|sveta pred vratima?
I pronašli su odeæu i|masku starca?I to je sve?
Da,gospodine.-A ti i ostali|ste samo tako stajali?
Da,gospodine.-Kažeš da je|devojka sada sa novinarom?
Upravo si mi,znaèi,priznala|da si htela nekog ubiti.
I dalje misliš da si|prepoznala Bilijev glas?
Rekla sam vam.Nikad ne bih|pobrkala Bilijev glas.
Zar ne možete da mip|overujete?-To mi je slabost.J
a sam jedan od najnevernijih|Toma na svetu.
Odvešæu te kuæi.-Ne,nema|potrebe,napolju mi je auto.S
igurna si?Možeš ovo ostaviti|ovde,važi?-Aha.
Vraæa se.-Ne ispuštajte je|iz vida,pratite novinara.
Da,gospodine.-Vas dvojica|ostajete ovde,sa Maršalom.
Mi æemo pratiti devojku.
Stajneru,ubeðen sam da me|je napao prerušeni èovek.
Znate doktore,da nisam|siguran da je Bili mrtav...
Jesi li pogledao u sanduk|za vreme ispraæaja?
Naravno.Nije isto izgledao,|ali, to je uvek kod njega.
Gde je sahranjen?-Na groblju|Budu,Hanšou Roud.
Neka ga iskopaju.
Maršal ovde.-Zdravo,Džim.|-Bili,sve sam veæ èuo.
En je ubeðena da si još|živ.-Morao sam da rizikujem.
Mislio sam da æe pucati u|Karla ili nekog od njih.
Uzeo sam joj pištolj,da ne|uèini opet neke gluposti.V
rlo dobro.Naæi æu se sa njom|u školi u Sautemptonu.
U koje vreme?-Za sat.-Važi.|Ako uspem da je pronaðem.
Nazvaæu te opet u 10 da ti|kažem kako je sve prošlo.
Hvala,gospodo.
Nisam hteo da se vidimo,|jer ne želim da me vidiš.
Bili,to je u redu.Treba da|znaš to.-Ne,za mene nije.
Možda kasnije,ali prvo|se moram naviæi na sebe.È
ovek koji sa njom razgovara,|mora da je Bili Lo.
Upravo smo èuli vesti sa|groblja.Nisam iznenaðen.
Poslaæemo vam pomoæ.Blizu su|i ubrzo æe stiæi.
En,oni te mogu ubiti i|uništiti još jedan život.
Idi u Amerik,molim te.|Hoæeš li to uraditi?
Bili,ne mogu.
Ulazi u kola i idi.Još su|dovoljno blokova udaljeni.
Razdvojili su se.Ona|prilazi svojim kolima.
Kuda je pošla?-Na drugu|stranu sirotišta,mislim.
Njega pratite,a uzmite 2|momka i devojku uhvatite.
Pozovi ga ovamo.
Gospodine Maršal,neko hoæe|da poprièa sa vama.
Doðite bliže,gospodine|Maršal.
Gospoðicu Maršal smo|veèeras pokupili.
Bili æe vas pozvati|oko 10 sati.
Prisluškujete mi telefon.|-Vrlo ste inteligentni.
Kažite Biliju da doðe u|robnu kuæu Taj-Jun,Kaldun.
Taèno u 1 po ponoæi.Kad|doðe,pustiæemo devojku.
Èovek za èoveka.-Zašto bih|ja vama poverovao?
Nemojte menjati jednaèinu,|Maršal.Bilija za devojku.
Vrlo je prosto.Gospodine|Maršal,morate se èuvati.
U vašem poslu možete mnogo|toga nauèiti.
Ali to znanje može postati|jeziv teret.Laku noæ.
Sto gospodina Maršala.-Da|li je Džim tu?-Ne,nije.
Prièekajte sekund.Upravo|je ušao.
Bili,prisluškuju|mi telefon.
Mafija drži En u rukama.
Nisam je mogao ubediti da|ode.Prièao si sa njima?
Baš malopre.Hoæe zamenu.|Ona za tebe.
Bez obzira što tako kažu,|možeš otiæi u policiju.
Ne,to bi dovel do toga da|je ubiju.Šta hoæe od mene?
Stik,idi tamo i pokrivaj ih.|Sigurnosti radi.
Ali,tamo veæ imamo šestoricu|ljudi.
Evo ga,dolazi.
Unutra je.Šèepajmo ga.
Moramo požuriti.Bili,|požuri,prekoputa ulice su.
Pokušaj da hodaš sama.Požuri!
Ne pokazuj se,bez obzira|šta èuješ.-U redu.
Idemo!Ti idi pozadi.|Ti uzmi prednju stranu.
Djui,idi vidi gde su|ostali momci.
Uzmi zadnji deo.Skini šlem,|skini šlem!Djui!Djui!
Sranje!
Gde je doktor?Crveni bi...|-Restoran Crveni biber.
Stik!Stik!-Bolje da|odmah obavestim Hakima.
Ima li koga u robnoj kuæi?|Pou!Pou!-To je nemoguæe.
