
Japanska flota je napala|i delimièno uništila
koja treba da vam|postavim,
da bismo neke stvari|potpuno razjasnili.
GLAVNI ŠTAB|MORNARICE S.A.D.
Dobro jutro, generale.
Evo je.
Kap. bojnog broda Alvin Kramer|Mornarièka obaveštajna,
Ova mašina prima svaku|reè, koja se razmenjuje
izmeðu Tokia i svih|japanskih ambasada.
Šifrovane poruke ubacuju|se u ovu mašinu,
prolaze mnoge okolišne|puteve,
i izlaze ovde, dešifrovane|na japanskom.
Nama preostaje da ih|prevedemo.
Dešifrujemo brže od japanske|ambasade u Vašingtonu.
Pukovnik Braton, komandant|sekcija Dalekog istoka
Nije èudo što ste ovu|operaciju nazvali "Èarolija".
Najnovija uhvaæena vest,|gospodine.
Stvari su se pogoršale|na Pacifiku.
Kad nam je veæ zadatak|zajednièki, pogledajte ovo.
Predsednik, Državni sekretar,|Ministar rata, Ministar mornarice
Samo nekoliko odabranih mogu|da vide ono što uhvati "Èarolija".
Ali, tu nije komandant|vazdušnih snaga! -Ne.
Ni jedan od prekookeanskih|zapovednika, takoðe.
Izvrsno!
Ko komanduje tim|torpednim avionima?
Kapetan bojnog broda Fušida,|sa nosaèa Akogi.
Pošaljite mu sledeæu|poruku od mene,
"Èestitam na izvanrednom|torpednom napadu".
Ako budemo primorani|na rat sa Amerikom,
jedina nada za Japan,|je da uništi
amerièku flotu na Pacifiku|na samom poèetku.
Da li da koristimo torpedne|avione za Perl Harbur?
PERL HARBUR
Pripremi se.
Na izvršenje!
Pogledaj taj ulazak u luku|Perl Harbur.
Potopi jedan veliki brod u|kanalu i zarobio si celu flotu.
Znaš, kao i ja, da je ova|luka prava mišolovka.
Trebalo je da flota ostane|u San Dijegu, gde i pripada.
Pogrešio sam što to nisam|rekao Ruzveltu.
Admiral Hazbend Kimel|Komandant pacifièke flote
Od nas se oèekuje|da poštujemo nareðenja.
Ali i da sami procenjujemo|situaciju.
Ja nisam tražio ovaj posao.|-Izvini.
Ovo je bio moj posao|i prešlo mi je u naviku
da brinem za sigurnost flote.|Ne mogu da zaboravim
da su Britanci torpednim|avionima potopili Italijanima
tri bojna broda kod Toronta.|To je luka vrlo slièna ovoj.
Znam da si zabrinut, ali to se|ovde ne može desiti. -Zašto?
Torpedo se izbacuje iz aviona|na dubinu od 25 metara,
pre nego što se izravna.|-Znam da je zaliv dubok
samo 13 metara,|ali još uvek sam zabrinut.
Bio sam zapanjen, ser,|kada sam èuo vaš predlog.
Mislite da je plan|nepromišljen?
Predlažete upotrebu torpednih|aviona protiv Amerikanaca,
a Perl Harbur je suviše plitak....|-Toronto je takoðe plitka luka,
a britanski torpedni avioni su|potopili 3 italijanska broda.
Znam, kao i vi,|da je taj plan nesiguran.
Riskantno je,|ali nemamo izbora.
Treba mi odmah plan za|takav napad. -Razumem.
Razgovaraæemo sa Gendom,|novim vazduhoplovnim
oficirom na Akogiju.|On je izvrstan strateg.
Da, seæam se Genda.|Razgovarajte sa njim.
Minoru Genda, komandant|prve vazduhoplovne flote
Drago mi je što te vidim,|Gendo.
Dakle, to je novi ZERO? -Tip 21,|sa krilima na sklapanje.
To znaèi da sad možemo|da nosimo više lovaca.
Ovaj je brz, pokretljiv|i ima veliki domet.
Bolji od "Meseršmita"|i "Spitfajera"?
Svakako. Video sam oba|u borbi nad Londonom.
Viši si po èinu, znaèi,|mora da je istina.
Sad kad si ti ovde zapovednik|osoblja, biæe èvrsto.
Ti ne treba da brineš,|neæeš biti ovde.
Ideš u Treæu flotu|sa unapreðenjem.
Komandant sigurno misli|da si dobar.
Naravno da misli.|Imam i dokaz za to.
Ovo je njegov telegram.|Hoæeš da proèitaš?
General Volter C. Šort|Zapovednik armije na Havajima
Zar ovi avioni moraju da|budu tako parkirani?
Na ivici piste su.
To je uobièajeni raspored|za sluèaj vazdušnog napada.
Na ovom ostrvu ima|130 hiljada Japanaca.
Naš glavni problem|je sabotaža.
Neprijateljski špijun može|lako da se ušunja noæu
i raznese svaki od ovih|aviona ako ostanu tako.
Zabeležite to, moramo nešto|da promenimo. -Da, ser.
Da? -Došao je admiral Hols.|-Neka uðe.
Šta je ovo? Sredi me i ti.|Hoæe da me upropaste.
Ako misle da moje brodove|pošalju na Atlantik,
kažem ti da su oni|u Vašingtonu poludeli!
Kako da vršim svoju dužnost,|ako moje krstarice
i razaraèe šalju na Atlantik?
To je bazen za kupanje|u odnosu na Pacifik.
Jesmo li mi borbena flota|sa ovim èamcima,
igraèkama, koje Japanci|mogu da kupe za Božiæ?
Smiri se, Bile.|Nisi samo ti u pitanju.
Tražili su i tankere.
Kako misle da hrane ova|debela bojna kola?
Još uvek planiraš da polovina|njih bude na moru?
Moraš ih naterati da shvate|šta se ovde dogaða.
Uèiniæu sve što mogu, Bile.
Pa i ako budem morao|pravo kod Predsednika.
Znam da u mornarici|postoji makar jedan èovek,
koga nije zaludeo.
"Gandi" je još u skrovištu,|gospodine.
Èudan èovek. Radi u svojoj|kabini kao pustinjak.
Ali, trebalo bi da je ovde.
Vatanabe, pozovi ga|da nam se pridruži.
Kad "Gandi" razraðuje plan,|on je u nekom svom svetu.
Kapetan Kameto (Gandi)|Kurojima
Molim vas, ne smetajte mi!|Ovo je važno.
Neæu da idem!
Gendin plan za napad na|Perl Harbur je bez greške.
Izvrstan je!
Istièe važnost borbenih|aviona.
Samo mislim na to.
Koristimo 6 nosaèa aviona,
torpedne avione,
bombardere velikog dometa,|bombardere za obrušavanje.
Lovci ZERO za pratnju,|idu severnim kursom,
koriste nova torpeda...
Napadamo za vikend.
Genda je mislio na sve.
Dopunjavanje goriva,
vremenske prilike...
Treba napomenuti da Japan|nikad nije prethodno izvršio
vojnu akciju pre objave rata.|Stoga zakljuèujemo da je
moguæe da brzi japanski nosaèi|avona uðu u havajske vode,
bez prethodnog upozorenja|naše obaveštajne službe.
Najpovoljnije vreme za|neprijatelja bi bila zora.
Verovatno bi krenulo|najviše 6 nosaèa aviona.
Napad bi usledio za vikend.|Preporuèujemo... -Trenutak.
Da, gospodine?
Cenim posao koji ste obavili|vi i general Martin.
Ovi izveštaji mnogo koriste|generalu Šortu i meni.
Generale Martin, niste|napravili nijedan propust?
Preporuèujemo da avijacija|stalno pretražuje oblast
oko Havaja, u krugu od|360 stepeni, u toku dana.
To bi zahtevalo flotu|od 180 aviona B-17.
Ne možemo pretraživati|more oko Havaja,
ako nemamo avione, ser.|-180 B-17!
To je više nego što ih|ukupno ima u SAD.
Lepo izgleda na papiru,|ali ono tamo nije papir.
Eskadron "Enterprajz".|Bil Hols izvlaèi
iz svojih ljudi i poslednju|snagu.
Da je bar više takvih.
Veæina njih samo èeka|odlikovanja.
Ni jedna bomba nije pogodila|cilj poslednjih sat vremena.
Vaši piloti mogu da ga vide,|pretpostavljam.
Ko je sledeæi?
Anderson.
To je bolje.
Možda su se tvoji momci|konaèno sredili.
Nadam se, gospodine.
Ko je sledeæi?
Poruènik Dikinson.
Poruèi Dikinsonu, od mene,|da ni palicom za bejzbol
ne bi mogao da pogodi bika|u dupe. -Da, gospodine.
Nastavite. -Nastavite!
To je to? -Da, gospodine.|Naš novi radar.
Najnovije nauèno dostignuæe.|Otkriva uljeze na moru
i u vazduhu na velikoj|udaljenosti.
Èujte, pukovnièe, nemamo|dovoljno patrolnih aviona.
Moramo se osloniti|na ovu stvar,
ako neprijatelj napadne?|-Generale, radar bi trebalo
da obavi svoj posao. -Zašto|je doðavola, još ovde?
Zašto nije postavljen?|-Hoæemo da ga postavimo
na vrh one planine,|generale. To je idealno
mesto za glavnu radarsku|stražu. -Tako visoko?
Odatle se sve vidi.|-Oèigledno.
Ne možemo da dobijemo|dozvolu da ga postavimo.
Dozvolu? -Od uprave|nacionalnog parka, ser.
Sve ovo pripada havajskom|nacionalnom parku.
Havajskom nacionalnom|parku? -Da, gospodine.
A protivi se i društvo|za oèuvanje prirode.
I ne možemo dobiti dozvolu?|-Ne, gospodine. Ne bez borbe.
Naravno da æemo se boriti!|Zabeležite to. -Da, ser.
Društvo za oèuvanje|prirode!
Japansko ministarstvo|ratne mornarice, Tokio
Oseæam se kao budala.|Nisu me èak ni pitali.
Naša vojska je odluèila|da okupira Indokinu.
Sada više nema nade|za mir.
Rekao sam to i pre,|a kažem opet.
Ako zaratimo sa SAD,
ne smemo stati kod Havaja|ili S. Franciska.
Moramo da umarširamo|u Vašington
i diktiramo uslove mira|Beloj kuæi!
Usijane glave koje tako lako|govore o ratu, neka razmisle.
Nisam više Ministar mornarice,|ne mogu ništa da uradim.
Žao mi je.
Ne krivite sebe. Vojne|starešine greše, ne vi.
Moram da se vratim u flotu.|Treba mnogo toga uraditi.
Nema nikakve koristi od ovoga.|Govorio sam sa generalom
Majlsom i generalom Maršalom.|Nareðenje ostaje na snazi.
Predsednik se briše sa liste.
Neverovatno! Kriti obaveštenja|od Predsednika!
Ljudi iz obezbeðenja našli|su kopiju našeg izveštaja
u korpi za otpatke,|u Beloj kuæi.
Ne verujemo nekim ljudima|bliskim Predsedniku.
Veruje li danas neko|nekome?
Verujete li èak i svojoj|ženi? -A vi?
Kad sad razmislim o tome,|mislim da verujem.
Drugi deo poruke 1390.|Tokio ambasadama
u Vašingtonu i Berlinu.|-Hvala.
Japanci se pomeraju na jug, da|okupiraju francusku Indokinu.
Velike nevolje. -Da.
Bio na listi ili ne, neko treba|da kaže Predsedniku za ovo.
Stoga stavljamo punu zabranu|na svu trgovinu sa Japanom.
Ne oèekujemo momentalnu|vojnu akciju od strane Japana,
ali treba preduzeti adekvatne|mere predostrožnosti.
Adekvatne mere|predostrožnosti?
Šta to, doðavola znaèi?
Potpisali general Maršal|i admiral Stark.
Iako znamo da Japanci neæe|reagovati, neæemo reskirati.
Puna pripravnost!|-Da, gospodine!
Stark kaže da ne oèekuju|vojnu akciju.
Zašto onda šalje upozorenje?
Doðavola!
Zašto nam Vašington|ne daje celu prièu?
To je moje mišljenje.
"Ne oèekujemo vojnu|akciju."
U redu, na posao.
Organizujte vazdušne patrole|i obavestite kapetane brodova.
Možda æemo otkriti kako dobro|možemo da funkcionišemo.
Kominski!
Ovde kapetan Erl.|Dajte punu pripravnost.
Da, kapetane.|Idemo na punu pripravnost.
Pošaljite patrole.
Šta se ovde, doðavola,|dogaða? Šta to radite?
Izvršavam nareðenja.
General Šort je zabrinut|zbog sabotaže.
Od sada æe avioni biti|parkirani zajedno,
na sredini piste, gde mogu|biti pod stražom danonoæno.
Ako doðe do vazdušnog napada,|kad pogode jedan avion,
odoše svi! -Žao mi je,|general je naredio.
Današnja vojna vežba|napada na Perl Harbur,
jasno pokazuje potrebu za 6|nosaèa aviona u fazi napada.
Glavni štab hoæe da nas|limitira na 3 nosaèa.
Moramo imati 6!
Ako smanjimo naše udarne|snage sa šest nosaèa na tri,
naša misija neæe uspeti!
Prvo treba da napadnemo|naš glavni štab.
Verujemo u našu avijaciju,|ali oni se drže teorije
da se odluèujuæa bitka mora|voditi izmeðu bojnih brodova.
Ako ne uništimo taj mit,
nikad neæemo steæi|njihovo odobravanje.
Ne veruju samo oni|u "teoriju bojnih brodova".
Mnogi oficiri ovde, takoðe,|podržavaju to gledište.
Ja sam jedan od njih.|Uskoro æemo imati
dva nova nepotopiva broda,|svaki nosivosti 64 t,
sa teškim naoružanjem.
Sve što pliva, može da potone.|"Nepotopiv" brod je bajka.
Odluèujuæi rat u Evropi|vodi se u vazduhu.
Nema pobede na kopnu i moru|bez kontrole iz vazduha!
Izabran sam za komandanta|na ovom borbenom zadatku.
Smatram ovu operaciju|riziènom.
Kako æemo preæi 3.500 milja|do Havaja, neotkriveni?
Misija æe propasti, ako nam|ne uspe da ih iznenadimo.
Moji brodovi ne mogu da nose|gorivo za put do tamo i nazad.
Zaustavljanje zbog dopunjavanja|poveæava rizik od otkrivanja.
Uveren sam da æe naši brodovi|stiæi bezbedno do Havaja.
Obazrivi ste. Moguænost da|dobijete 6 nosaèa je mala.
Kritikovati plan je|poražavajuæe!
Dosta svaðe! Dok sam ja|vrhovni zapovednik
Perl Harbur æe biti|napadnut!
Siguran sam da je ovo|riskantan potez,
ali ne možemo sebi dozvoliti|luksuz i igrati na sigurno!
Zapamtite sledeæe!
Gospodo, više nije pitanje|prihvatanje, ili ne ovog plana.
Treba da odluèimo kako|da ga najbolje izvedemo.
Fušida se vratio!|Fušida se vratio!
Fušida! Kakvo iznenaðenje!
Ja sam vaš novi komandant,|pazite kako se ponašate.
Šališ se! Kako si dobio još|jedno unapreðenje?
Pa, izuzetni ljudi dobijaju|izuzetan tretman.
Ovaj brod se puni|generalima.
Mora da se nešto|važno dešava.
Pozvali smo vas ovamo|da objasnimo svrhu
novog programa obuke. To je,|naravno, najstroža tajna.
Izgleda isto kao Perl Habur,|zar ne?
A ono dole lièi na|Ford Ajlend?
Divno!
Mornarièki piloti privlaèe|gejše, ali rasteruju ribu.
Nije idealno mesto za radar,|ali bar imamo dozvolu.
Hajde da postavimo i ostale|mobilne jedinice!
To je lakše reæi, nego uèiniti.|-Kako to? -Treba prvo
da sklopimo šest jedinica,|onda pravimo glavni štab,
znaèi, opremamo|informativni centar
i obuèavamo ljude|da rade u njemu.
Treba da znaju šta æe sa|informacijama, kada ih dobiju.
Samo polako. Srediæeš ti to.|-Da, srediæu ja to.
Ne stojte tu! Znate da radite|sa ovim? -Samo teoretski.
Onda primenite teoriju u|praksi! Ukljuèite to! -Da, ser.
Ostanite tu i posmatrajte|ekran.
Za dva sata zatvorite,|poslaæu kamion po vas.
Izvinite, gospodine,|šta treba da gledamo?
Bilo šta neobièno što|dolazi sa mora.
Ako ugledamo nešto,|šta treba da uradimo?
Javite štabu, doðavola!|-Kako, ser? -Šta?
Kako, kad nemamo telefon?|-Na milju odavde
je benzinska pumpa.|Sigurno imaju telefon.
U ovoj bazi imamo 183|borbena aviona, generale.
Ovako kako su sad parkirani,|mogu se razneti
jednom ruènom granatom.
Ništa ja tu ne mogu, tako je|naredio general Šort. Napred!
Poruènici Tejlor i Velš, ser.|-Neka uðu!
Vas dvojica u avione i letite|iznad Holi Ive! -Da, ser.
Kakvo je nareðenje|kad stignemo?
Javiæu vam telefonom.|To je sve. -Da, ser.
Holi Iva je jedan od|pomoænih aerodroma.
Dva ovde, dva ovde.
Samo želim da razredim|avione!
Da mogu poslao bih sve|na susedna ostrva.
Znaš li zašto nas premeštaju?|-Poker. Suviše èesto dobijamo.
Da, neka budala izgubi košulju|i odmah prijavljuje generalu.
Privatna rezidencija|premijera Konoje
Teško je poverovati da je Car|pristao da odredi datum
do kada se mora doneti konaèna|odluka izmeðu rata i mira.
Potpis Njegovog Velièanstva|je puka formalnost.
Kabinet je odgovoran za sva|pitanja nacionalne politike.
Da ministrima pokaže kako se|oseæa, Car im je èitao pesme.
"Ako su svi ljudi braæa, zašto|su vetrovi i talasi nespokojni?"
"Ako su svi ljudi braæa,|zašto su vetrovi i talasi
tako nespokojni?"
To jasno pokazuje koliko|Car želi da izbegne rat.
Da, požurivao nas je da sredimo|nesuglasice sa Vašingtonom.
Krajnji rok je oktobar. Može|li se do tada naæi rešenje?
Možda. Ali, ako ne uspemo,
ako doðe do rata,
recite mi iskreno,|šta misli mornarica,
kakve su nam šanse protiv|Amerikanaca?
Ako moramo, preganjaæemo|se s njima godinu dana.
Posle toga ništa|ne garantujem.
G. Premijeru, nadam se da|æete nastaviti pregovore.
Ne zaboravite, ne postoji|poslednja reè u diplomatiji.
JAPANSKA AMBASADA|VAŠINGTON
Tokio je ignorisao moj|ponovni zahtev,
i još nije poslao odgovor,
na kompromis, koji je|predložio sekretar Hol.
Rat koji je toliko|dugo pretio,
može uskoro postati|stvarnost.
Amura je nekoliko puta|davao ostavku,
ali Tokio ga ne pušta.
Umesto toga, šalje drugog|ambasadora, Kurusua,
da mu pomogne.
FRENK NOKS|Ministar mornarice
Može li taj Kurusu da uèini|nešto dobro? -Pa, sumnjam,
Frenk. Nije najbolji izbor.
Bio je ambasador u Berlinu|i potpisao pakt u ime Japana.
Isploviæete iz Hièkapu zaliva|26. nov. po mojim nareðenjima.
Šifra "Popnite se na Nitaku",|biæe potvrda da krenete!
Odredili smo da približan|datum za napad bude
u nedelju, 7-og decembra,|po havajskom vremenu.
Ali, morate shvatiti da još|pregovaramo sa Vašingtonom.
Ako se naðe miroljubivo|rešenje flota æe biti
odmah opozvana.|Ima li komentara?
Kad jednom isplovimo, bilo|bi sramota da se vratimo!
To bi uništilo moral ljudi!|Oni su izuzetno spremni
fizièki i psihièki. -Dosta!|Ako neko od zapovednika
odbija naredbu za povratak,|ako bi put mira bio otvoren,
neka odstupi SADA!
Najzad, gospodo,
mnogi neobavešteni|Japanci,
misle da je Amerika|nacionalno izolavana,
i da Amerikance zanima|jedino da uživaju u luksuzu,
da su duhovno i moralno|izopaèeni.
To je velika greška.
Ako rat postane neizbežan,
Amerika æe biti najstrašniji|neprijatelj do sada za nas.
Živeo sam u Vašingtonu,|studirao na Harvardu,
i znam da su Amerikanci|ponosan i pošten narod.
Razmišljaš o neèemu? -Ne.
Sastavljam delove nove poruke.|Ukazuje se zastrašujuæa slika.
Ambasadori Amura i Kurasu|mole svoju vladu
da produži rok za pregovore|izmeðu Japana i Amerike.
Seæaš se toga? -Da.
A sada, sudeæi po ovoj|poruci,
Tokio želi da završi|pregovore s nama
najkasnije do 29. novembra.
Posle toga æe se stvari|automatski odvijati.
Ovo je izveštaj britanske|obaveštajne službe.
Pet japanskih transportnih|trupa, uz pratnju mornarice
krenuli su sa Formoze|na jug.
Ali, japanska flota bi morala|da ostane u svojim vodama.
Nisam siguran u to.
Mogao bih se kladiti|da æe nas napasti.
Japan æe nas napasti!
Do 29-og je ostalo samo|èetiri dana.
30-ti je u nedelju.
Napašæe nas u nedelju,|30-og novembra.
Mozaik se slaže.
Možeš li to da dokažeš?|-Ne.
Ipak, ubeðen sam da|sam u pravu.
Gðo Kejn. -Da?|-Zovite generala Maršala.
General Maršal je u|Fort Beningu.
Onda zovite Ministra rata.
Imam dokaz, Al.
Nateraæu ih da priznaju|da sam u pravu!
Bratonova analiza|ima smisla.
Ove èinjenice ne mogu|se poreæi.
Henri, perem ruke od svega.
Sada je ovo u tvojim rukama|i onih iz ratne mornarice.
Pozvaæu Predsednika.
Objaviæemo punu|pripravnost.
Gospodine, general Maršal|je predvideo nešto ovako.
Pre nego što je otišao|na manevre 10-te armije,
ostavio je ovo nareðenje|za pripravnost.
Gospodine, poruka!
"Od admirala Jamamota,|vrhovnog zapovednika
ujedinjene flote, za admirala|Noguma, Treæa flota.
Popnite se na planinu|Nitaku!"
Neprijateljstvo æe poèeti|7-og decembra.
Taèno po planu.
Proèitajte mi to ponovo.
Buduæi japanski postupci|nepredvidivi,
ali, neprijateljska akcija|moguæa svakog èasa.
Ako se neprijateljstvo|ne može izbeæi,
SAD želi da Japan uèini|prvi potez.
Proèitajte to ponovo.
Ako se neprijateljstvo|ne može izbeæi,
SAD želi da Japan uèini|prvi potez.
Ali, to ne znaèi da vam|se zabranjuje akcija,
koja bi ojaèala vašu odbranu.|Pre svake japanske akcije,
možete preduzeti sve mere|predostrožnosti
koje smatrate potrebnim.|Te mere preduzeti bez uzbune
civilnog stanovništva,|i ne otkrivati naše namere.
Po nareðenju generala|Maršala.
Da ne uzbunimo civilno|stanovništvo?
Šta to znaèi?
Pa, ako se ja pitam,|to je dvosmisleno.
Glavni štab ne razume|dvosmislenost.
Objaviæemo uzbunu. -Opet?|Ali, ljudi su zbunjeni.
Toliko uzbuna.|-I ja sam zbunjen!
Japanci mogu da napadnu|Filipine, Tajland i Borneo.
Ovo treba smatrati opomenom|da æe doæi do rata.
Sad imate isto onoliko|informacija koliko i ja.
To je drugo upozorenje|u tri dana.
Japanci mogu da napadnu|Filipine, Tajland, Borneo.
Nas i ne pominju. -Taèno.|To je veoma znaèajno.
Pa, gospodo,|sad imamo posla.
Vašington želi da pošalje|eskadron u Midvej,
i još jedan u Vejk.
Kad možete da isplovite?
Pa, "Enterprajz" može da|isplovi sutra ujutru.
Meni treba dan-dva za neke|popravke na "Leksingtonu".
Ubrzaj to, Džone. Želim|da poèneš sa letenjem,
da ti avioni lete od jutra|do mraka.
Hoæu izveštaj o bilo kakvom|znaku neprijateljstva.
Razumem!|-Hoæeš li neki bombarder?
Ne, prespori su. Ako hoæemo|da izviðamo, Džone,
moramo da požurimo.|-U pravu si.
Neæu ništa preduzimati|dok ne saznam gde i kada.
Još planiraš da držiš pola flote|na moru kad nosaèi odu?
Ne, opasno je. Držaæu celu|flotu ovde u Perl Harburu,
dok ste vi odsutni.|Vratite se što pre.
Ne volim da mi flota bude|ovde bez zaštite.
Hajdemo! -Da, ser.
Kimel,
budi iskren sa mnom.
Hoæu jasna uputstva.
Ako naletim na japanski|brod, šta da radim?
Budi pametan.
To je najbolje nareðenje|koje sam ikada dobio.
Ako vidim tamo neki|"sampan",
razneæu ga!
Izveštaj obaveštajne službe.|Brodovi SAD kod Perl Harbura.
6 bojnih brodova, 3 lake|krstarice, 16 razaraèa
i jedan nosaè aviona.
Nema informacija o ostalim|amerièkim nosaèima.
06. decembar. 1941
Šta je ovog puta?|Zašto ste me pozvali?
Tokio šalje svojoj ambasadi|dugaèku poruku u 14 delova.
Prošle nedelje si nas|sve uplašio.
Neæemo valjda sve|ispoèetka?
Najnoviji izveštaj o pomeranju|japanskih trupa, gospodine.
Zapamti da onih 5 brodova|još uvek idu na jug.
Sad su samo na 14 sati|od obala Malaje.
A nosaèi aviona?|-Ne znamo.
Tajna služba im je nedavno|ušli u trag,
ali sada su ih izgubili.
Pokušaj da se staviš|u njihov položaj.
Šta misliš gde sam bio|prošle nedelje danonoæno?
Još uvek sam ubeðen|da æe nas napasti.
Šta još možemo da uèinimo,|a da veæ nismo probali?
Ne znam za tebe,|ali ja znam šta æu.
Gde su ostali? -Prošlo je 12,|otišli su. -Vratite ih!
Za vikend? -Da, za vikend.
Samo provereni èlanovi|vašeg osoblja,
smeju da obraðuju poruku|u 14 delova,
i pripremaju otkucan|prevod.
Biæe teško bez pomoæi|profesionalnog daktilografa.
Sada je situacija izuzetno|delikatna.
Moramo biti spremni da|dešifrujemo svaki deo
poruke èim stigne.
Pripremiæu odeljenje|za šifre.
Uskoro æemo stiæi do taèke|"D", gospodine.
Od taèke "D" nastavite ka|taèki "E". Borbenom brzinom.
Dakle, to su zvuci Havaja?
Loše vesti. Naš glavni cilj,|amerièki nosaèi,
napustili su Perl Harbur.
Ovo sadrži 13 delova? -Da.|Tokio šalje poslednju ujutru.
Pitam se zašto.
Uskoro æe 9. Hoæu da|pregledam sve što imamo.
Hvala Bogu da je Predsednik|opet na listi.
Neka me pukovnik Braton|pozove èim stigne
poslednji deo. -U redu.
Kasniš.
Alvin, ja sam... -Molim te,|odvezi me do Bele kuæe.
Da si mi rekao da smo|pozvani u Belu kuæu,
obukla bih se bolje.
Znaš gðu Ruzvelt. Formalista|je i striktno se drži protokola.
Draga, æuti i vozi.
Još jednom!
Spremni!
Spremni!
Divno! Upravo smo potopili|"Nevadu"!
"Pensilvanija"!
"Oklahoma"!
"Enterpajz"! -Ne, idioti!|To je naš admiralski brod!
Pa?
Kod kapetana Vilkinsona.
Video si Predsednika? -Ne.|Video sam Hari Hopkinsa.
Je li proèitao iko drugi?
Ne. Nemaju šifru.
Predao sam je poruèniku|Šulca da je preda Predsedniku.
Pretpostavljam da|Predsednik ima šifru.
Naravno.
Je li poruènik Džo nešto|rekao? -Rekao je "hvala".
Draga, nagazi malo,|molim te.
Ako mi ništa ne vidimo, neæe|ni amerièki patrolni avioni.
Mene više brinu|podmornice.
Taèno po planu.
Gospodine, ne možemo da|doðemo do admirala Starka.
Da odnesem ovo šefu štaba?|-Sada je prošlo deset.
General Maršal uvek|rano leže.
Nema razloga da smetamo|Maršalu, ako ovo nije potpuno.
Saèekajte da dobijete zadnji|deo. -U redu, gospodine.
Možemo pozvati šefa ratnog|plana, admirala Tanera.
Ne javlja se na telefon.|Ne znate gde je?
Nemam pojma.
Predsednik je veæ razgovarao|sa mnom o tome.
Poslao je liènu|poruku Caru.
Voleo bih da pogledam zadnji|deo te poruke kad stigne.
Laku noæ. -Laku noæ.
Gladna sam, sigurno si i ti.|-Hvala ti.
Neæeš mi ništa reæi?
Ni nagoveštaj?
Pomisliæe da je smak sveta.
Admiral Stark je razgovarao|sa Predsednikom.
I, šta je Predsednik rekao?
Poslao je liènu poruku Caru.
