{1}{1}23.976
{26}{176}–û–≥–ª–∞—à–∞–≤–∞—ò—Ç–µ —Å–≤–æ—ò –ø—Ä–æ–∏–∑–≤–æ–¥ –∏–ª–∏ –º–∞—Ä–∫—É –∫–æ–¥ –Ω–∞—Å; –∫–æ–Ω—Ç–∞–∫—Ç–∏—Ä–∞—ò—Ç–µ www.OpenSubtitles.org
{4438}{4501}Hej, Kirk, kako je?|- Kako si ti?
{8045}{8193}A öta ti hoËeö? - Da ostaviö|glupi Rodeo i vidiö öta je izazov.
{8330}{8429}StiÊi do Teksarkane i nazad|za 28 sati, to nije problem.
{8457}{8516}To niko nikad nije uspeo,|seronjo.
{8525}{8556}Pazi, öta priËaö,|gospoice.
{8563}{8713}Problem je pivo. IstoÊno|od Teksasa je to överc.
{8744}{8826}A ja mislim da se ti|plaöiö. - Veliki psiholog.
{8834}{8870}äto ne kaûeö neöto ruûno|o mojoj majci?
{8875}{8908}Majka ti je ruûna...
{8916}{9026}Samo ti to obavi. Ovi kamioni vrede 80 000 dolara.
{9034}{9194}Dakle, 300 na sat ako uspeö|za 28 sati. äta kaûeö?
{9222}{9296}Tata, mislim da ne treba.|- Pusti me. - Samo malo...
{9317}{9401}Zaöto ste toliko zapeli za to pivo?|- Zato öto je ûedan, glupane.
{9425}{9563}Vidiö, momak se sutra trka|i kad pobedi, hoÊu to...
{9568}{9629}...da proslavim sa mnogo stila.|- Koliko mnogo?
{9636}{9726}Pa, za nekoliko prijatelja i|mene... 400 sanduka.
{9778}{9937}Pa? - Da vidim novac. - ReË|Velikog Enosa zlata vredi.
{9986}{10022}U redu, pokazi mu novac.|Daj, Mali.
{10067}{10095}Sranje!
{10160}{10275}I za 400 sanduka mi treba novac.|Nema problema. Daj, sinko.
{10326}{10423}Trebaju mi i nova kola, da|ötitim kamion, znate. - Daj, sinko.
{10459}{10513}Da mi je da ga samo jednom|opalim u dupe...
{10559}{10596}Brza kola.
{10652}{10701}Jos brûa.
{11271}{11356}Zdravo! - Zdravo, striËe Bandit!|- A koja si ti? - Kejt.
{11362}{11401}Boûe, ima vas|koliko i muva.
{11451}{11573}Pozdrav lepoj dami. Da kaûemo|predivnoj? - Ne moûe s tobom.
{11577}{11639}S tobom sigurno ne moûe. äta ti to radiö,|poËinjeö novu trku?
{11649}{11742}Jednom si ga veÊ strpao u|zatvor. Ostavi nas na miru!
{11750}{11812}StriËe Bandit! - Nije on tebi|nikakav stric.
{11818}{11889}Neka neko iznese|ovog psa odavde...
{11953}{12077}Pogledaj me! - Ne mogu da te|gledam, naroÊito kad imaö sve te...
{12081}{12157}...stvari po kosi. Onda mislim|kako sluöaö lokalne stanice.
{12170}{12252}Ne smeö tamo, nemoj da mu|smetaö. Ovo je moja kuÊa!
{12264}{12384}Klids? - Ne! Znam da sam|prema tebi tesko zgreöio.
{12439}{12609}Jel tako? - Tako je. - Meutim,|to viöe nikad neÊu uËiniti.
{12628}{12823}Jel tako? - Tako je? - Sada imamo|öansu da zgrabimo veliku lovu.
{12871}{12965}80 000.|- Da?
{12981}{13061}A öto? Treba oteti popa?|- Kako si pogodio?
{13068}{13245}Ne. Moramo u Teksarani uzeti 400|sanduka piva i doneti ga za 28 sati.
{13305}{13433}Moram ti nesto reÊi. To se zove|överc i protivzakonito je. - Pa?
{13438}{13525}Kad su Sneöko i Bandit u igri,|niko nas ne moûe zaustaviti.
{13534}{13646}Stani malo. Nema viöe Sneöka|i Bandita. Razumeö? - A zaöto?
{13651}{13785}Jer ujutro moram po tovar ubriva. - Usran ti je posao.
{13788}{13934}Mogu te neöto pitati? - Pitaj.|Zaöto kog avola da odemo do...
{13939}{14002}...Teksasa i dovuÊemo pivo? - Zbog|dobrog starog ameriÊkog naËina ûivota.
{14007}{14119}Za novac, slavu i zabavu.|Uglavnom za novac.
{14148}{14204}A znaö öta Êemo kad|dobijemo novac? - äta?
{14207}{14298}Kupiti novi kamion. - Ti si|lud, jel znaö? - Da.
{14350}{14422}Izvini, koliko si rekao da|Êemo deliti? - 80 000 dolara.
{14439}{14483}80 000 dolara?
{14543}{14681}Kaûem ti, s Fredom nema problema.|- Vidim da nam je glavni ovde.
{14687}{14779}Osim toga, on je i straöan|Ëuvar. - Pa, da krenemo.
{14783}{14884}»ekaj malo, mogu te neöto pitati? - Naravno.
{14890}{15071}Ti kaûeö da Êemo se odvesti do|Teksarkane i nazad za 28 sati?
{15076}{15162}Pa to je samo 1400 km tamo| i toliko nazad.
{15167}{15238}Za tvoju informaciju, joö niko|to nije uspeo, ne u kamionu.
{15243}{15335}Zato öto mi nismo pokuöali.|Ne gledaj sve tako crno, sinko.
{15339}{15433}Naravno da Êemo uspeti. Nismo|nikad pokuöali, zar ne? - Ne.
{15440}{15640}Eto, vidiö? - Vidim. PrebiÊe|nas ako nas uhvate.
{15831}{15936}Boûe, ma vidi ti ovo...|- Lepo, a?
{16033}{16104}Pa, pretpostavljam da ovaj put|neÊemo obojica u kamion.
{16107}{16208}Ne, sine, ja Êu voziti ovaj.|PokrivaÊu te. Ti voziö kamion.
{16212}{16304}Ovo je Bandit 1, a ono...|- Bandit 2. Opet zajedno.
{16310}{16370}Da, kao Fred i Dûindûer,|Lester i Erl.
{16375}{16425}To je u redu, ali postoji jedan|problem. - A öta to?
{16429}{16523}Ovi naöi pajkani Smoki imaju|sada CB-radio-stanicu u kolima.
{16526}{16618}Znam. Joö to nisam reöio,|ali razmiöljam. - Imam ideju.
{16651}{16769}Kad ja kaûem "prei na kanal 21,"|ne idemo na 21, nego na 19.
{16775}{16883}Da, a ako kaûem idemo|na 6, idemo na 3.
{16890}{16999}Savröeno. - A kad kaûem idemo na|kanal 2, onda idemo na 1.
{17021}{17091}Kapiraö, to Êe ih zbuniti.|- ZbuniÊe ih.S druge strane...
{17096}{17193}äta? - Ako se drûimo neparnih kanala,|i svaki put se pomerimo...
{17198}{17254}...na sledeÊi,|i to Êe isto iÊi.
{17298}{17374}Pa, mislim da Êe i to iÊi.|- Onda diûimo dupe.
{17951}{18050}Ovde Bandit, Sneöko,|Ëujeö li me?
{18064}{18183}Milost, juriö me sa 135 na sat.|IzleteÊe mi prozori. Javi se.
{18193}{18353}∆uËemo se, a ti se drûi na 140.|- Fred i ja imamo jedno pitanje.
{18364}{18433}äta biste vi? - Kako to da smo|pristali na ovo? - A zaöto da ne?
{18436}{18531}Kaûu da je nemoguÊe. - Eto ti|razlog. - Fred je zadovoljan.
{20684}{20724}Zdravo, Smoki.
{22138}{22260}Fred, nadam se da nas nije|uvalio u neöto öto Êemo zaûaliti.
{22276}{22341}Jer taj je lud|koliko si ti ruûan.
{23864}{23933}Veliki grad, a? - Da, baö me|zanima kako se zabavljaju.
{23938}{23995}Verovatno sede i gledaju|kako autobomile guta ra.
{24026}{24096}ZakljuËano je. - Znaö, stigli smo|sat ranije. - Pa neka i bude tako.
{24407}{24511}Hej, hoÊeö pivo? - Vidi ti ovo,|seljaËki raj.
{24536}{24592}A kako Êemo sve to natovariti?|- Ovim ovde.
{24605}{24674}Ma ne moûeö da voziö viljuökar.|Mogu ja svaku vilicu da zabijem gde treba.
{24700}{24773}Ma daj se urazumi.|Znaö li ti to da voziö?
{24779}{24877}Rekao sam da ga pokreneö, ne nazad!|- Sad nazad, ne gore!
{24962}{25021}Stani! Pivo,|pazi na pivo!
{25112}{25197}Dobro si? - Baö smeöno.|- Pa i jeste smeöno.
{25232}{25294}Morali bismo nekome platiti|za ovaj krö ovde.
{25300}{25458}Dobro, znam. Ostavi poruku da se|raËun isporuÊi Velikom Enosu...
{25464}{25792}...Buredu. - Poöaljite raËun|Velikom Enosu Burdetu...
{25970}{26012}Do avola,|moram da krenem.
{26098}{26340}Hej, Spajdermene, Êujeö me? Javi se.|- Kako nam ide? - Sad Êu ti reÊi.
{26427}{26538}Izgleda da smo 28 minuta brûi|od predvienog. - éao mi je...
{26552}{26620}...öto ti moram reÊi da sam ti|to i rekao. - Nemoj sada gubiti...
{26627}{26719}...svaöta je pred nama.|- Pa, pedalu do daske. Sluöam te.
{26723}{26804}Ja i Fred smo ti odmah|iza lea.
{27056}{27166}éao mi je, ja se ne bih ûenio.|OdliËno, onda nas je dvoje.
{27184}{27337}HoÊeö li me otkopËati? - Naravno.|- A ide li ovo?
{27343}{27368}O, da.
{28302}{28358}Gde idemo? Ne, nemoj mi|reÊi, pogaaÊu.
{28382}{28462}Mi smo nevesta u potrazi za|venÊanjem. - Ne.
{28474}{28538}Ali je jedno venÊanje u|potrazi za mladom.
{28592}{28703}Drugim reÊima, to ti je kao|svadbena potera za mladom.
{28720}{28797}Razumeö li ti to,|kauboju? - Da.
{28859}{28991}äta to radiö? - Ovo su mi cipele.|- Pa da.
{29002}{29099}A ovo su mi noge. - Da?|I öta Êeö s njima?
{29123}{29231}Sa cipelama ili nogama? - Kad sam|poslednji put video ovakve...
{29234}{29320}...noge, na njima je bila poruka.|- äta to znaÊi? Ovo su...
{29325}{29405}...odliËne noge.|Ja sam profesionalka.
{29461}{29513}Ne bi smela da|budeö u belom.
{29543}{29575}PlesaËica!
{29654}{29769}Da, kauboji vole masne|listove. - Nisu masne!
{29802}{29906}VeÊi su nego moji. - Siguran si|da ûelimo da priËamo o nogama?
{29911}{29984}Jedno od nas dvoje ûeli,|inaËe... - PametnjakoviÊu.
{30040}{30137}äta sad radimo? - Ja vadim|svoju odeÊu, budalo.
{30199}{30278}Dobra ideja. Mogla bi|malo da se raskomotiö.
{30348}{30437}Stvarno vozimo 170 na sat?|170 na sat!
{30443}{30528}Zaöto nosiö taj öeöir? Znam,|misliö da si u njemu neodoljiv.
{30579}{30647}Kad sam je kupovala, nisam mogla|da zamislim da se tako teöko skida.
{31820}{31868}Dosta je pranja kola, gospodo.
{31957}{31983}Doi, sinko.
{32164}{32226}Izgledaö umorno, momËe.|Odmori se.
{32307}{32366}I vi ste nekako iznemogli,|bitange.
{32533}{32675}To je tek toliko da me sluöaö.|Da Ëujem, dama u venÊanici.
{32685}{32776}Da, gospodine. - Uöla u kola?|- Da, gospodine.
{32803}{32851}Video si ko je vozio?|- Ne, gospodine.
{32945}{33038}Tablice? - Da, gospodine.|Tablice iz Dûordûije.
{33052}{33188}Pisalo je BAN-ONE.
{33222}{33308}U redu, vi Êete, momci, ostati|ovde i pripaziti na kola.
{33313}{33431}Mogli bi da naiu neki vandali da|ukradu neöto. Dakle, ostanite...
{33435}{33529}...ovde, s rukama na kola,|dok ne doe moj pomoÊnik.
{33573}{33725}Ne idite kuÊi, ne idite da jedete|i nemojte se igrati sa sobom.
{33739}{33805}To ne bi lepo delovalo|na mom putu.
{33845}{33961}Moûete o tome razmiöljati,|ali uËiniti nemojte niöta.
{34333}{34478}Ode ovaj, hajde da se gubimo.|- Ti radi öta hoÊeö, ja ostajem.
{34586}{34690}Imam 28 godina i...Boûe, öta|je sad ovo? Samo Êu gurnem nazad.
{34700}{34817}I tako, plesala sam na toj izloûbi|kuÊnih aparata, oko 3 maöine...
{34821}{34890}...za smeÊe, u tom kostimu koji|je ceo zasvetleo...
{34903}{34938}...i samo sam jednom napravila|kratak spoj.
{34942}{35056}Odakle ti navlaka sa sediöta?|- Nije nikakva navlaka.
{35102}{35155}Sedim pored Laurencija iz|Arabije.
{35166}{35246}...i onda sam na parkiralistu|upoznala tog tipa. Uh, öto je...
{35252}{35399}...bio zgodan, tako visok, pa s|tim öeöirom. Iz Teksasa, mislim.
{35407}{35478}I kazem ja sebi, pa mogla|bih baö i da se udam...
{35559}{35669}Niko meni neÊe beûati s|venÊanja. UhvatiÊu ja tu...
{35672}{35723}...curu i sve Êe opet|biti kako treba.
{35730}{35829}Osramotila je moj grad.|Osramotila je mog sina.
{35895}{35998}»uj, a öta ako... - Umukni.|Osramotila je moj autoritet.
{36029}{36147}A to nije nista drugo nego|najËistiji komunizam.
{36166}{36264}Uvek se to dogodi kad se neka|plesaËica poËne povlaËiti...
{36270}{36315}...ovuda s tim|svojim pederima.
{36320}{36405}VeÊ na pola puta do oltara,|kaûem ja sebi: "äta radiö?
{36408}{36474}Pa njegova majka ni zube nema!"|I onda sam skoËila u kola...
{36478}{36535}...i onda je, ne znam, crko,|i tako sam dospela u ovaj...
{36540}{36644}...prokleti avion. äta ti radiö?|- Ne seÊam se.
{36676}{36766}O, sluöaju nas? - Pa da,|na neki naËin.
{36826}{36946}Misliö da sam öaöava, je li?|- Ne, ne mislim da si luda.
{36983}{37081}Baö juËe sam pokupio 3|neveste. Kao i ti, vrlo kratke.
{37097}{37196}äta se deöava?|Javi se, Bandit.
{37245}{37302}Bandit? To ti je ime ili|zanimanje?
{37316}{37386}To mi je öifra. Pravo|mi je ime Bo.
{37413}{37451}Kako se ti zoveö?|- Keri.
{37463}{37550}Zar to ona ima|venÊanicu?
{37624}{37748}Imala je. - A öta sad ima|na sebi? Javi se.
{37762}{37887}äto su ti uöi zaËepljene?|Kaûi öta joj se vidi. Duöa?
{37978}{38117}NeÊe mene nikakva fufica da|ostavi u crkvi. Ceo grad sam ukrasio...
{38123}{38183}...za 40 dolara.|- Tako je.
{38255}{38446}Kao da je sada vidim kako trËi|kroz onaj prolaz. Ne, plesala je.
{38496}{38561}A grudi joj se razbacale|po celoj crkvi.
{38566}{38598}Ostavi taj volan.
{38658}{38709}I dupetom je vrdala.
{38828}{38941}äto tako ûuriö? Kasniö na vaûan|sastanak u kuglanju? - Slatko.
{39029}{39124}PriËaj mi o sebi. - äta bi htela|da znaö, koji sam znak?
{39152}{39242}Ne, öta radiö osim öto brzo|voziö? - Zabavljam se.
{39259}{39391}I ovo je zabavno? - Voûnja?|- Voûnja, razgovor sa mnom.
{39397}{39433}I jedno i drugo je|veliki izazov.
{39495}{39620}Imaö sjajan profil. - Zar ne?|NaroËito kad se gleda sa strane.
{39629}{39680}Barem smo se u neËemu sloûili.
{39694}{39772}I meni i tebi se svia pola|mog lica
{39925}{40050}ZnaËi li ti neöto policajac koji|piöki pored puta? - ZnaËi.
{40095}{40193}Kaûe se da je na 10-100.|- Bolje to, nego 10-200.
{40325}{40403}Za njega se kaûe - Smoki.
{40999}{41073}I ovo je zabavno? - Zaboravio|sam da ti kaûem.
{41079}{41173}Pratim kamion sa 400 sanduka|proövercovanog piva.
{41574}{41614}O, sranje!
{41675}{41763}Ovo mi nije trebalo.|»udno,|ne seÊam se te krivine.
{41776}{41861}Gde si do avola? - ZaËas|se vraÊam na glavni put.
{41875}{41930}Dobro, druûe, drûim|oËi otvorene.
{42265}{42329}Ovo je fantastiËna stvar. - Mislim|da sam napravila 10-100.
{42360}{42448}Bolje to, nego 10-200.|- I to öto kaûeö.
{42934}{43033}Sneöko, gde su ti uöi?|- »ujem te. Gde si?
{43060}{43207}Opet sam na putu|kod oznake 71. Kako nam ide?
{43239}{43352}Sve na vreme, oko 25 minuta|pre predvienog.
{43365}{43493}Pozicija? - Ja sam oko 7 km|ispred tebe. - NeÊeö dugo.
{43515}{43704}Traûim Bandita...- Sluöam.|- Imam izveötaj o Smokijima.
{43724}{43821}Pa reci mi, ortak.|- Crno ti se piöe.
{43838}{44000}Reci mi öifru, sinko, i poziciju.|- Ja sam pravi Smoki i u ovom...
{44006}{44068}...trenutku ti gledam|lea.
{44142}{44206}Pa to je policajac iz Teksasa.|Kog avola on traûi u Arkansasu?
{44211}{44285}Ne znam. - Pa da vidimo öta|drûi u tom motoru.
{44333}{44374}»ao, Ëao, duöo!
{44695}{44781}Mnogo puöiö?|- Tek sam poËela.
{44901}{45025}Kleds, rade li ti ui? - Reci|öta imaö. - Obilazim te.
{45029}{45127}Pazi, moraËeö da se drûiö svoje|trake, ima ih iz drugog...
{45132}{45188}...smera koliko hoÊeö.|»uvaj se.
{45368}{45419}O, boûe.
{45442}{45517}PoginuÊu u ovoj pokretnoj|radio-emisiji, a Ëak ni...
{45523}{45700}...öifre nemam. - HoÊeö öifru?|Sad Êu ja neöto smisliti.
{45717}{45884}Da vidimo... Znam! - äta?|- Samo Ëasak...
{45961}{45990}Dobro smo to izveli,|Fred, a?
{46128}{46182}äta?|- éaba.
{46238}{46307}Zato? - Zato öto|neprekidno skaËeö okolo.
{46323}{46414}I tako, zgodna si kao ûabica.|Voleo bih da skaÊem sa tobom.
{46514}{46652}Nema toga koji Êe od öerifa|Buforda Ti Dûastisa da napravi...
{46656}{46734}...majmuna. - Osim one...|- Zaveûi!
{46874}{46948}Traûim Bandita 1. - Da,|Sneöko, sluöam te.
{46959}{47017}Iza tebe je bio jedan teksaöki|automat za ûvakaËe gume.
{47020}{47095}Automat za ûvakaöe gume?|- Video sam ga.
{47396}{47479}äefe, neÊeö da mi verujeö, ali|taj ludak je upravo pokuöao...
{47483}{47540}...da proe ispod kamiona.|- äta teksaöki policajac radi...
{47544}{47626}...u Arkansasu? - Ne znam.|- Ne znam!
{47709}{47774}Pa ko zna? - Ja stvarno|ne znam.
{47865}{48013}Ovde je potpuni nedostatak|poötovanja zakona.
{48037}{48197}Ovde öerif Buford Ti Dûastis.|Jurim crni "Trans-am".
{48217}{48327}On je samo moj, prema tome,|sklonite mi se s puta.
{48528}{48561}Ovde öerif Dûordû Brenford.
{48605}{48674}Obaveöteni smo o situaciji|i preduzimamo odgovarajuÊe mere.
{48698}{48907}Rekli ste da ste öerif? - Tako je.|äerif Buford Ti Dûastis iz Teksasa.
{48950}{49013}Vi naravno znate da ste van|svog ovlaöÊenog podruËja.
{49017}{49114}Predlaûem da se mi pobrinemo|za situaciju, - Uteöno,
{49119}{49210}ali ja ovog trenutka njega|jurim punom parom. Ne Ëujeö dobro?
{49223}{49302}»ujem odliËno. To sto ste öerif|za situaciju nije...
{49308}{49401}...presudan faktor. - Kakvi|faktori, kakve veze to ima?
{49418}{49489}äta je rekao? - Umukni! Ne mogu|da podnesem oba sranja odjednom.
{49625}{49682}äta vidiö?|- Pobegli smo mu.
{49928}{50026}Opet öerif Buford Ti Dûastis.|Pobegao mi je onaj "trans-am".
{50035}{50135}Postavite zasedu. - Dobra|ideja. - Ma öta ti znaö?
{50155}{50228}Verujem da je naöa situacija potpuno|pod naöom kontrolom, öerife.
{50337}{50453}Traûim Bandita, javi se. - Dobio|si ga, sluöam te.
{50469}{50552}Ja sam –avo Srebrnog Jezika|i hoÊu da ti kaûem da su momci...
{50556}{50643}...jako ponosni na tebe.|- Hvala, sinko, drago mi je.
{50664}{50730}Reci mi, misliö li|da proeö na put za Flejtvel?
{50735}{50815}Da, veÊ sam skoro stigao.|- Onda imam za tebe mraËnu...
{50818}{50901}...vest. Upravo sam proöao|pored policijske zasede.
{50911}{50957}Ti stvarno jesi|–avo Srebrnog Jezika.
{51002}{51040}Ovo ti je bilo dobro,|ortak.
{51045}{51115}Pa neka ti toËkovi jure i|vesele cure. Gotovo.
{51162}{51196}Hvala, policajËe.
{51225}{51279}Fin momak.|- Fin momak.
{51866}{51926}Jesi li video? Proöao je|pravo kroz naöu zasedu.
{51933}{51997}Ni kiöobran ne bi ste mogli|da zatvorite, a kamoli put.
{52723}{52805}Znaö öta, öerife? Ako mi se|ne skloni s puta, preËi Êu ga.
{52811}{52936}Gde, u öumi? Baö me briga öto|ti je tata gradonaËelnik.
{52941}{53000}Ako uniötiö kola, oduzeÊu|ti od plate.
{53015}{53095}Da, ali pobeÊi Êe nam! - Sinko,|ne moûe taj da pobegne.
{53107}{53174}Milberi most je veÊ|6 meseci razruöen.
{53339}{53365}Ovo nije dobro.
{53515}{53558}Bilo bi bolje kad bismo|imali ceo most.
{53589}{53619}A ovo je joö gore.
{53731}{53826}Kako bi bilo da me ostaviö ovde,|naÊi Êu neki taksi. - Sad je kasno!
{54117}{54141}Uspeli smo!
{54431}{54477}Vidite? Nisam ga razbio,|öerife.
{54569}{54675}PreskoÊili smo most.|Jesi li video? - Jesam.
{54679}{54776}HoÊu da joö skaÊemo! Da|preskoËimo kuÊu, i joö neöto!
{54780}{54805}SkaÊi preko mene.
{54884}{54963}Nisam kriv, Ëasna reË.|Stao sam. - TaËno.
{54999}{55175}MomËe, gde je öerif Brendford? - Ja sam öerif Brendford.
{55263}{55387}Iz nekog razloga, na radiju|ste mi zvuÊali nekako viöljim.
{55548}{55641}Ma u öta samo srlja|ovaj svet...
{55924}{55973}Na kom smo kanalu?|- äta?
{55986}{56046}Na kom smo kanalu?|- 11-om.
{56103}{56220}Sneöko, tu si? - Tu sam i|radim öta treba. A öta vi...
{56224}{56323}...radite, igrate se mame i|tate? - Ne, s mostovima.
{56333}{56487}Kako nam ide? - Gubimo minute.|Ako ne does i pomogneö mi,
{56492}{56641}neÊemo stiÊi. - Sluöaj,|ostaviÊu lutkicu na nekoj...
{56644}{56763}...stanici za klopu i vraÊam se|na posao. - Razumem.
{56862}{56979}Moûeö mi doneti hamburger|za Freda? Nekako mi je mröav.
{56987}{57011}Vaûi.
{57031}{57143}Stanica za klopu.|- Gde ja izlazim.
{57166}{57198}Da.
{57276}{57330}Znaö. morala bi da prestaneö|da puöiö, nije zdravo.
{57339}{57378}Ali, ja tako uûivam u tome.
{57810}{57854}Mislim da kartu moûeö|dobiti tamo.
{57926}{58079}Imaö dovoljno novca? - Dovoljno do|Dûersija. Dalje Êu peöke.
{58131}{58241}Hvala ti.|- Nema na Ëemu.
{58285}{58314}Vidimo se.
{58432}{58572}éabice? SnaÊi Êeö se?
{58709}{58811}Da, ja se uvek|snalazim.
{59110}{59162}Mogu li dobiti 2 hamburgera|za poneti i Ëaöu hladnog Ëaja.
{59412}{59532}Koliko sam duûan? 1,5 dolara.|- Zadrûite ostatak.
{59543}{59632}Samo dobro pripazi na|tog idiota Bandita.
{59696}{59816}Dajte mi sendviÊ i Ëaöu sode.|éuri mi se.
{59852}{59881}HoÊeö li neöto?
{59886}{60036}Malo kroketa, tata. - Nemamo|sad vremana za to sranje, budalo.
{60071}{60124}Vaö sendviÊ i piÊe.|- Hvala vam, gospoo.
{60160}{60240}Mora da vam se stvarno ûuri,|öerife. - I joö kako, momËe.
{60264}{60416}Malo ste se uprljali, dajte|da vam pomognem... Hvala.
{60466}{60582}A koga jurite? Ili neko juri|vas? - Niko mene ne juri, momËe.
{60590}{60687}Jurim prokletog manijaka|joö od Teksarkane.
{60725}{60825}Stvarno? A öto?|Jel opljaËkao banku? - Banku?
{60864}{60962}PljaËka banke je deËija igra|prema onome öto je ovaj napravio.
{61016}{61102}Umalo je ubio 20 policajaca, vozi kroz dvoriöta...
{61123}{61266}Ima u kolima neku ûensku i|prevezao ju je ilegalno preko...
{61273}{61399}...granice. Ne verujem da je|pristala, to je onda otmica.
{61409}{61447}Kakav je to provod, a?
{61523}{61570}Koliko sam duûan? - Dopustite|da ja platim. - Ne...
{61580}{61641}Ali vi ste Ëovek iz policije,|biÊe mi Ëast.
{61649}{61708}Pa, hvala lepo. Gde je|toalet? Treba da se olaköam.
{61714}{61768}Evo tamo. Baö sam izaöao.
{61931}{62002}äta ti radiö u mojim kolima?|To je pogreöan smer!
{62048}{62157}Drûi se! - Ma öta ti radiö?|- Unutra je öerif Dûastis. - Znam.
{62365}{62399}Hvala vam, gospoo.
{62813}{62843}éalosno.
{63049}{63122}Istina je da nisam htela da|me samo tako ostaviö.
{63126}{63171}Htela sam da ostanem s tobom,|i trebao mi izgovor.
{63181}{63207}Pa öto me nisi pitala?
{63216}{63299}Mogao si da kaûeö ne, a ja ne znam|öta da radim kad me odbijaju.
{64360}{64395}Stiûemo ih!
{64423}{64486}Mislim da ne bi bilo loöe|kad bi zamenili mesta.
{64494}{64623}Da malo ti budeö suvozaË.|Digni se, sad se samo pomeri...
{64630}{64735}Zaplela mi se kosa. - Sad se|samo povuci... »ekaj malo.
{64739}{64840}»ekaj malo. - Stani.|- Zaglavio sam se.
{64844}{64952}Ne valja ovako. - Noga mi je...|Do avola, video sam to na filmu.
{65208}{65235}O, boûe!
{65284}{65342}Sagni se, inaËe Êeö|da priËaö kroz dupe.
{65540}{65624}Tata, nema krova.|- Ma nemoj!
{65827}{65971}Sneöko, kako ti je grlo?|- Dobro, ali Fred me brine.
{66006}{66092}VeÊ je pokuöao da preûvaÊe sve|öto ima u kabini. Laje i cvili.
{66095}{66163}»ini mi se da je potpuno  poöizio.|- Pozicija?
{66174}{66266}Oko 25 km s ove strane|Misisipija. »ekaj malo...
{66271}{66376}Upravo je proöao jedan|pajkan. Ima ih kao mrava. Gde si?
{66435}{66557}Joö se nisam reöio onog iz|Teksasa. Ne znam öta hoÊe.
{66582}{66655}Pa znaö öta hoÊe. Zar ne bi i ti|voleo da staviö lisice ûivoj legendi?
{66693}{66801}Daj mi 5 minuta, da mu|smestimo. Vidimo se kod...
{66807}{66890}..."Stare Gospoe". - Samo poûuri, ili|da se oprostimo od para.
{66893}{66946}Jasno?|- Shvatio sam.
{67072}{67098}Idemo, ubico.
{67387}{67455}Tako bih i ja voleo|da odem. Hej, pazi!
{67542}{67632}äta je to bilo? - Leva|krivina,ili polovina krivine.
{67645}{67690}E pa molim te da|to viöe ne radiö.
{67750}{67932}Znaö ko je to? Bandit, ovde|Pljakaö Grobova. Pedalu do...
{67936}{68008}...daske, druûe, a mi Êemo|ovog zadrûati koliko god moûemo.
{68044}{68176}Hajde, curo. - Idem, idem.|Dasku do pedale, i ono do poda...
{68855}{68933}Koliko je taj imao prijatelja,|öta misliö? - Da su ga kremirali,
{68938}{69048}do sad smo veÊ mogli da|oteramo Bandita na Mesec.
{69476}{69500}Drûi mi öeöir.
{69530}{69614}Moj öeöir je odleteo, tata. - Da|ti je barem u njemu bila glava.
{69702}{69775}Sad Êemo se zameniti.|Digni se, ja prelazim.
